trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
114,False,"{'a': 0.001, 'e': 0.8922579558824083}",25,19,9.013455841004298,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.001, 'e': 0.8913661439068313}",30,0,-224.8965274061532,"{0: 17, 1: 2, 2: 7, 3: 0, 4: 4}",0
116,False,"{'a': 0.001, 'e': 0.8904752232974726}",25,0,-62.870922993136766,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
117,False,"{'a': 0.001, 'e': 0.8895851931634113}",25,0,-197.74475755834627,"{0: 11, 1: 4, 2: 7, 3: 0, 4: 3}",0
118,False,"{'a': 0.001, 'e': 0.8886960526146174}",20,0,-152.98340718023047,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
119,False,"{'a': 0.001, 'e': 0.8878078007619501}",20,0,-94.93584736607899,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
120,False,"{'a': 0.001, 'e': 0.8869204367171575}",20,0,-84.08788529421946,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
121,False,"{'a': 0.001, 'e': 0.8860339595928756}",20,0,-33.50106350513536,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
122,False,"{'a': 0.001, 'e': 0.8851483685026271}",20,5,-35.34147604132707,"{0: 12, 1: 0, 2: 1, 3: 2, 4: 0}",1
123,False,"{'a': 0.001, 'e': 0.8842636625608209}",20,0,-67.10417291968002,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
124,False,"{'a': 0.001, 'e': 0.8833798408827509}",30,0,-73.81725097739883,"{0: 23, 1: 2, 2: 3, 3: 1, 4: 1}",0
125,False,"{'a': 0.001, 'e': 0.8824969025845955}",25,0,-76.8965612848096,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
126,False,"{'a': 0.001, 'e': 0.8816148467834161}",20,0,-76.73036752543666,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
127,False,"{'a': 0.001, 'e': 0.880733672597157}",20,0,-57.21300071981852,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
128,False,"{'a': 0.001, 'e': 0.8798533791446438}",35,0,-152.18005354572261,"{0: 21, 1: 5, 2: 6, 3: 1, 4: 2}",0
129,False,"{'a': 0.001, 'e': 0.8789739655455832}",20,0,-62.73365478441989,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
130,False,"{'a': 0.001, 'e': 0.8780954309205613}",25,0,-45.50519907982322,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
131,False,"{'a': 0.001, 'e': 0.8772177743910435}",30,0,-120.93835567916885,"{0: 19, 1: 5, 2: 4, 3: 0, 4: 2}",0
132,False,"{'a': 0.001, 'e': 0.8763409950793732}",30,0,-167.52128670838124,"{0: 15, 1: 5, 2: 7, 3: 1, 4: 2}",0
133,False,"{'a': 0.001, 'e': 0.8754650921087711}",30,0,-65.53802468648487,"{0: 24, 1: 2, 2: 2, 3: 1, 4: 1}",0
134,False,"{'a': 0.001, 'e': 0.874590064603334}",25,0,-88.64118692531285,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 2}",0
135,False,"{'a': 0.001, 'e': 0.8737159116880344}",30,0,-123.44550866123296,"{0: 24, 1: 1, 2: 1, 3: 1, 4: 3}",0
136,False,"{'a': 0.001, 'e': 0.8728426324887193}",30,0,-96.11795416651367,"{0: 18, 1: 6, 2: 4, 3: 2, 4: 0}",0
137,False,"{'a': 0.001, 'e': 0.8719702261321094}",20,0,-160.98493634220063,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
138,False,"{'a': 0.001, 'e': 0.8710986917457983}",25,0,-109.93396231148061,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
139,False,"{'a': 0.001, 'e': 0.8702280284582515}",30,0,-111.70332217069921,"{0: 17, 1: 6, 2: 6, 3: 0, 4: 1}",0
140,False,"{'a': 0.001, 'e': 0.8693582353988059}",20,1,-98.9380205291692,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 1}",1
141,False,"{'a': 0.001, 'e': 0.8684893116976679}",25,2,-108.86237405060794,"{0: 12, 1: 4, 2: 6, 3: 0, 4: 1}",1
142,False,"{'a': 0.001, 'e': 0.867621256485914}",25,0,-122.83269394782477,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
143,False,"{'a': 0.001, 'e': 0.8667540688954889}",20,0,-47.96604031333396,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
144,False,"{'a': 0.001, 'e': 0.865887748059205}",35,0,-216.51506897205007,"{0: 20, 1: 2, 2: 8, 3: 2, 4: 3}",0
145,False,"{'a': 0.001, 'e': 0.8650222931107413}",20,0,-166.4759209321843,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
146,False,"{'a': 0.001, 'e': 0.8641577031846428}",20,0,-215.64889149832115,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 4}",0
147,False,"{'a': 0.001, 'e': 0.8632939774163194}",20,0,-64.09766572002296,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
148,False,"{'a': 0.001, 'e': 0.8624311149420455}",25,8,-13.14714250377178,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
149,False,"{'a': 0.001, 'e': 0.8615691148989583}",35,0,-112.44412332076361,"{0: 25, 1: 3, 2: 5, 3: 0, 4: 2}",0
150,False,"{'a': 0.001, 'e': 0.8607079764250578}",20,0,-76.64649412305535,"{0: 11, 1: 6, 2: 2, 3: 0, 4: 1}",0
151,False,"{'a': 0.001, 'e': 0.8598476986592055}",25,0,-60.51165413271037,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
152,False,"{'a': 0.001, 'e': 0.8589882807411234}",20,0,-123.11041047043989,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
153,False,"{'a': 0.001, 'e': 0.8581297218113938}",25,0,-54.40863982529186,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
154,False,"{'a': 0.001, 'e': 0.8572720210114575}",35,18,-17.570808623372606,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 0}",1
155,False,"{'a': 0.001, 'e': 0.8564151774836135}",20,0,-46.941306473999745,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
156,False,"{'a': 0.001, 'e': 0.8555591903710185}",20,4,-111.69261483332357,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 3}",1
157,False,"{'a': 0.001, 'e': 0.8547040588176851}",20,0,-89.36172558572551,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
158,False,"{'a': 0.001, 'e': 0.8538497819684817}",20,3,-22.85978505544169,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 0}",1
159,False,"{'a': 0.001, 'e': 0.8529963589691315}",25,14,-130.99376781819828,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 3}",1
160,False,"{'a': 0.001, 'e': 0.8521437889662113}",25,0,-160.75070961387286,"{0: 12, 1: 6, 2: 4, 3: 1, 4: 2}",0
161,False,"{'a': 0.001, 'e': 0.8512920711071511}",25,0,3.4204816488301533,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
162,False,"{'a': 0.001, 'e': 0.850441204540233}",20,0,-88.64089874219917,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
163,False,"{'a': 0.001, 'e': 0.8495911884145902}",30,0,-185.6727508001676,"{0: 17, 1: 3, 2: 7, 3: 0, 4: 3}",0
164,False,"{'a': 0.001, 'e': 0.8487420218802068}",25,0,-10.010193753811333,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
165,False,"{'a': 0.001, 'e': 0.8478937040879159}",30,0,-202.38647361781202,"{0: 19, 1: 3, 2: 3, 3: 1, 4: 4}",0
166,False,"{'a': 0.001, 'e': 0.8470462341893996}",35,0,-171.73736052457514,"{0: 22, 1: 4, 2: 6, 3: 0, 4: 3}",0
167,False,"{'a': 0.001, 'e': 0.8461996113371882}",20,0,-40.815521405198524,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
168,False,"{'a': 0.001, 'e': 0.8453538346846587}",25,11,-8.409231679581893,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
169,False,"{'a': 0.001, 'e': 0.8445089033860343}",20,10,-114.24621347569719,"{0: 4, 1: 0, 2: 4, 3: 0, 4: 2}",1
170,False,"{'a': 0.001, 'e': 0.8436648165963837}",25,0,-20.326818926548935,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
171,False,"{'a': 0.001, 'e': 0.8428215734716199}",20,0,-27.951338856456072,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
172,False,"{'a': 0.001, 'e': 0.8419791731684999}",20,0,-125.50326267595047,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
173,False,"{'a': 0.001, 'e': 0.8411376148446232}",25,0,-112.79455194429804,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
174,False,"{'a': 0.001, 'e': 0.8402968976584314}",20,0,-114.68709460814833,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
175,False,"{'a': 0.001, 'e': 0.8394570207692074}",20,11,11.492439410546465,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.001, 'e': 0.838617983337074}",25,0,-87.9917388105498,"{0: 14, 1: 4, 2: 5, 3: 2, 4: 0}",0
177,False,"{'a': 0.001, 'e': 0.8377797845229938}",20,6,-31.085484960925598,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 0}",1
178,False,"{'a': 0.001, 'e': 0.8369424234887681}",20,0,-49.93408357411905,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
179,False,"{'a': 0.001, 'e': 0.8361058993970355}",25,10,-20.793058907150797,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 0}",1
